% Data from table C85 in Russell et al, Wind Tunnel and Hover Performance Test Results for Multicopter UAS Vehicles (2018)
% https://rotorcraft.arc.nasa.gov/Publications/files/Russell_1180_Final_TM_022218.pdf
% Data was conveted to SI units
Run, Point,WindSpeed,AerodynamicPressure,AirDensity, RPM, Fx, Fy, Fz, Mx, My, Mz, Vesc, I1, I2, I3, I4
27,4,0,0,1.2266,3500,0.0489,0.0534,5.5469,0.0092,-0.0138,-0.0182,16.69,0.865,0.979,0.963,0.92
27,5,0,0,1.2266,4000,-0.0267,-0.0044,7.5264,-0.0174,-0.0079,-0.0229,16.668,1.289,1.44,1.362,1.302
27,6,0,0,1.2266,4200,0.0178,0.0623,8.3315,-0.002,-0.0132,-0.036,16.657,1.447,1.687,1.562,1.496
27,7,0,0,1.2266,4500,-0.0222,-0.0222,9.6437,-0.0273,-0.0172,-0.0322,16.641,1.758,2.052,1.903,1.779
27,8,0,0,1.2266,4800,-0.0178,0.0801,11.0449,0.0056,-0.0195,-0.0388,16.618,2.135,2.515,2.315,2.189
27,9,0,0,1.2266,5000,0.0089,0.0356,11.9968,-0.0058,-0.0179,-0.0406,16.601,2.404,2.83,2.625,2.506
27,10,0,0,1.2266,5300,0,0.0267,13.5226,-0.0103,-0.0202,-0.045,16.573,2.885,3.453,3.19,2.995
27,11,0,0,1.2266,5500,0.0934,0.0756,14.7014,0.0007,-0.0062,-0.04,16.546,3.383,4.017,3.633,3.514
27,12,0,0,1.2266,5800,0.0623,0.1112,16.3294,0.0014,-0.0275,-0.0592,16.513,3.877,4.778,4.337,4.136
27,13,0,0,1.2266,6000,0.0133,0.0578,17.4593,-0.0105,-0.0168,-0.0519,16.487,4.292,5.41,4.756,4.594
27,14,0,0,1.2266,6400,0.0756,0.1601,19.9503,0.0122,-0.035,-0.0658,16.443,5.081,6.046,5.689,5.445
27,15,0,0,1.2266,6500,0.1023,0.0934,20.6264,0.005,-0.0125,-0.0645,16.432,5.4,6.185,5.854,5.622
27,16,0,0,1.2266,7000,0.1068,0.129,23.9136,-0.0079,-0.0294,-0.0884,16.375,6.438,7.291,6.927,6.564
27,17,0,0,1.2266,7500,0.0044,0.169,27.5122,-0.0023,-0.0329,-0.0797,16.288,7.985,9.122,8.558,8.009
