Tick#,offsetTime,IMU_ATTI(0):Longitude,IMU_ATTI(0):Latitude,IMU_ATTI(0):numSats,IMU_ATTI(0):barometer:Raw,IMU_ATTI(0):barometer:Smooth,IMU_ATTI(0):accel:X,IMU_ATTI(0):accel:Y,IMU_ATTI(0):accel:Z,IMU_ATTI(0):accel:Composite,IMU_ATTI(0):gyro:X,IMU_ATTI(0):gyro:Y,IMU_ATTI(0):gyro:Z,IMU_ATTI(0):gyro:Composite,IMU_ATTI(0):mag:X,IMU_ATTI(0):mag:Y,IMU_ATTI(0):mag:Z,IMU_ATTI(0):mag:Mod,IMU_ATTI(0):velN,IMU_ATTI(0):velE,IMU_ATTI(0):velD,IMU_ATTI(0):velComposite,IMU_ATTI(0):velH,IMU_ATTI(0):roll,IMU_ATTI(0):pitch,IMU_ATTI(0):yaw,IMU_ATTI(0):yawUnWrapped,IMU_ATTI(0):tiltInclination,IMU_ATTI(0):tiltDirectionEarthFrame,IMU_ATTI(0):tiltDirectionBodyFrame,IMU_ATTI(0):yaw360,IMU_ATTI(0):totalGyro:Z,IMU_ATTI(0):totalGyro:X,IMU_ATTI(0):totalGyro:Y,IMU_ATTI(0):magYaw,IMU_ATTI(0):distanceHP,IMU_ATTI(0):distanceTravelled,IMU_ATTI(0):directionOfTravel[mag],IMU_ATTI(0):directionOfTravel[true],IMU_ATTI(0):temperature,flightTime,navHealth,General:vpsHeight,General:relativeHeight,General:absoluteHeight,GPS(0):Long,GPS(0):Lat,GPS(0):Date,GPS(0):Time,GPS:dateTimeStamp,GPS(0):heightMSL,GPS(0):hDOP,GPS(0):pDOP,GPS(0):sAcc,GPS(0):numGPS,GPS(0):numGLNAS,GPS(0):numSV,GPS(0):velN,GPS(0):velE,GPS(0):velD,RC:Aileron,RC:Elevator,RC:Rudder,RC:Throttle,Controller:sig_level,Controller:mode_switch,flyCState,Controller:Aileron,Controller:Elevator,Controller:Rudder,Controller:Throttle,Controller:ctrlMode,Controller:navHealth,RC:failSafe,RC:dataLost,RC:appLost,RC:sigStrength,RC:connected,HP:Longitude,HP:Latitude,HP:rthHeight,Battery:status,SMART_BATT:goHome%,SMART_BATT:land%,SMART_BATT:goHomeTime,SMART_BATT:landTime,OA:avoidObst,OA:emergBrake,OA:radiusLimit,OA:airportLimit,OA:groundForceLanding,OA:horizNearBoundary,OA:vertLowLimit,OA:vertAirportLimit,OA:roofLimit,OA:hitGroundLimit,OA:frontDistance,MVO:velX,MVO:velY,MVO:velZ,MVO:posX,MVO:posY,MVO:posZ,MVO:hoverPointUncertainty1,MVO:hoverPointUncertainty2,MVO:hoverPointUncertainty3,MVO:hoverPointUncertainty4,MVO:hoverPointUncertainty5,MVO:hoverPointUncertainty6,MVO:velocityUncertainty1,MVO:velocityUncertainty2,MVO:velocityUncertainty3,MVO:velocityUncertainty4,MVO:velocityUncertainty5,MVO:velocityUncertainty6,MVO:height,MVO:heightUncertainty,Motor:Speed:RFront,Motor:Speed:LFront,Motor:Speed:LBack,Motor:Speed:RBack,Motor:EscTemp:RFront,Motor:EscTemp:LFront,Motor:EscTemp:LBack,Motor:EscTemp:RBack,Motor:PPMrecv:RFront,Motor:PPMrecv:LFront,Motor:PPMrecv:LBack,Motor:PPMrecv:RBack,Motor:PPMsend:RFront,Motor:PPMsend:LFront,Motor:PPMsend:LBack,Motor:PPMsend:RBack,Motor:V_out:RFront,Motor:V_out:LFront,Motor:V_out:LBack,Motor:V_out:RBack,Motor:Volts:RFront,Motor:Volts:LFront,Motor:Volts:LBack,Motor:Volts:RBack,Motor:Current:RFront,Motor:Current:LFront,Motor:Current:LBack,Motor:Current:RBack,Motor:Status:RFront,Motor:Status:LFront,Motor:Status:LBack,Motor:Status:RBack,Wind:velocity,Wind:direction,Wind:fromDir,Wind:N,Wind:E,AirComp:Alti,AirComp:MotorSpeed,AirComp:VelLevel,eventLog,flyCState,flycCommand,flightAction,nonGPSCause,compassError,connectedToRC,Battery:lowVoltage,RC:ModeSwitch,gpsUsed,visionUsed,notEnoughForce,IMUEX(0):err,IMUEX(0):rtk_Longitude,IMUEX(0):rtk_Latitude,IMUEX(0):rtk_Alti,MotorCtrl:PWM:RFront,MotorCtrl:PWM:LFront,MotorCtrl:PWM:LBack,MotorCtrl:PWM:RBack,BattInfo:Ad_v,BattInfo:r_time,BattInfo:AvgCurrent,BattInfo:vol_t,BattInfo:Pack_ve,BattInfo:Current,BattInfo:RemainingCap,BattInfo:Remaining%,BattInfo:Temp,BattInfo:right,BattInfo:l_cell,BattInfo:dyna_cnt,BattInfo:FullCap,BattInfo:out_ctl,BattInfo:out_ctl_f,AirCraftCondition:fsmState,AirCraftCondition:nearGround,AirCraftCondition:landState,Attribute|Value,ConvertDatV3,03.07.2006
0,-57.536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12792132,-54.694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{root}INFO:lib_route_init ok,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Firmware Date| May 25 2017,,
18098697,-53.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,{root}INFO:link_host_init ok.|||{root}INFO:link_init <0> link_host. ret(0x0)|||{root}INFO:link_init <1> link_pc. ret(0x0)|||{root}INFO:link_init <2> link_vo. ret(0x0)|||{root}INFO:link_init <3> link_ap. ret(0x0)|||{root}INFO:link_init <4> link_sdk. ret(0x0)|||{root}INFO:link_init <5> link_ofdm. ret(0x0)|||{root}INFO:link_init <6> link_auto_cali. ret(0x0)|||{root}INFO:link_init <7> link_manual_cali. ret(0x0)|||{root}INFO:link_init <8> link_cali_led. ret(0x0)|||      0 [L-SENSOR][ASR]sync host lead offset 0x11a|||      0 [L-SENSOR][ASR]asr host sync start|{root}INFO:[panic]:******************check fault info and trace(0) ************|||{root}INFO:[panic]:-----fault info is null: addr(0x2045e800).flag(0xb8936872)-----|||{root}INFO:[panic]:-----fault info is null: addr(0x2045e938).flag(0xd4eef779)-----|||{root}INFO:[panic]:-----all task info  is null: addr(0x2045ea70).flag(0x93f481c7)-----|||{root}INFO:[panic]:-----trace info  is null: addr(0x2045f260).flag(0x2ee03e21)-----|||{root}INFO:[panic]:******************check last trace ******************|||{root}INFO:[panic]:-----trace info  is null: addr(0x2045eca0).flag(0x19adcd70)-----|||{root}INFO:[panic]:-----wdg_time_info is null: addr(0x2045f820).flag(0xb675bc2e)-----|||      0 [L-SENSOR] hw_ver voltage: 0,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACType|P4A,,
22291438,-52.583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      0 [L-SIM]read parameter successfully!,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22489930,-52.539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      0 [L-FMU/MOTOR]read motor force disable flag successfully!|      0 [L-FMU/DM]success reg dev type  3(A3). id:2. total num:2,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22655020,-52.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      0 [L-SENSOR][ASR]need re sync host load_offset. freq=0x190|||      0 [L-SENSOR][ASR]need re sync host load_offset. freq=0x190|||      0 [L-SENSOR][ASR]need re sync host load_offset. freq=0x190|||      0 [L-SENSOR][ASR]need re sync host load_offset. freq=0x190|||      0 [L-SENSOR]imu group0 ok|      0 [L-GYRO_ACC]imu_0 group->sensor_id:e3718e |      0 [L-GYRO_ACC]turn on temp ctrl(0). cur_temp:-50.0. reason:temp ctrl core init|      0 [L-GYRO_ACC]turn on temp ctrl(0). cur_temp:0.0. reason:gyro_acc_tmp_ctl_init|      0 [L-SENSOR][ASR]sync host lead offset 0x11a|||      0 [L-GYRO_ACC]fitler-angular_vel. cheby2_config_7th|      0 [L-GYRO_ACC]fz: 200.000000 hz.30.000000 dB|      0 [L-SENSOR][ASR]asr host sync start|      0 [L-GYRO_ACC]fitler-linear_acc. butter_config_3rd_z2|      0 [L-GYRO_ACC] fp= 16.000000 hz; fz=100.000000 hz fs=2000.000000|      0 [L-GYRO_ACC]bandpass: fp= 50.000000 hz; fs=350.000000 hz; sample=2000.000000|      0 [L-FDI][IMU]0 dir ok 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.|      0 [L-FDI][IMU]0 mis cali ok|      0 [L-FDI][IMU]0 level 1&2 temp cali ok|      0 [L-FDI][IMU]0 base cali ok aa aa|      0 [L-FDI][IMU]0 cali ver ok 4 4 ff 6|      0 [L-FMU/DM]success reg dev type  8(gyro_acc0). id:3. total num:3|      0 [L-SENSOR]imu group2 ok|      0 [L-GYRO_ACC]imu_2 group->sensor_id:20e3718e |      0 [L-GYRO_ACC]turn on temp ctrl(1). cur_temp:-50.0. reason:temp ctrl core init|      0 [L-GYRO_ACC]turn on temp ctrl(1). cur_temp:0.0. reason:gyro_acc_tmp_ctl_init|      0 [L-GYRO_ACC]fitler-angular_vel. cheby2_config_7th|      0 [L-GYRO_ACC]fz: 200.000000 hz.30.000000 dB|      0 [L-GYRO_ACC]fitler-linear_acc. butter_config_3rd_z2|      0 [L-GYRO_ACC] fp= 16.000000 hz; fz=100.000000 hz fs=2000.000000|      0 [L-GYRO_ACC]bandpass: fp= 50.000000 hz; fs=350.000000 hz; sample=2000.000000|      0 [L-FDI][IMU]1 dir ok 1.000000 0.000000 0.000000 0.000000 1.000000 0.000000 0.000000 0.|      0 [L-FDI][IMU]1 mis cali ok|      0 [L-FDI][IMU]1 level 1&2 temp cali ok|      0 [L-FDI][IMU]1 base cali ok aa aa|      0 [L-FDI][IMU]1 cali ver ok 4 4 ff 6|      0 [L-FMU/DM]success reg dev type  8(gyro_acc2). id:4. total num:4|      0 [L-SENSOR]baro group0 ok|      0 [L-FMU/DM]success reg dev type  9(baro0). id:5. total num:5|      0 [L-SENSOR]compass group2 ok|      0 [L-FMU/DM]success reg dev type 10(compass0). id:6. total num:6|      0 [L-SENSOR]compass group3 ok|      0 [L-FMU/DM]success reg dev type 10(compass0). id:7. total num:7|      0 [L-FMU/DM]success reg dev type  4(imu0_local). id:8. total num:8|      0 [L-FMU/DM]success reg dev type 19(rc0). id:9. total num:9|      0 [L-FMU/DM]success reg dev type 15(zenmus0). id:10. total num:10|      0 [L-FMU/DM]success reg dev type 14(camera0). id:11. total num:11|      0 [L-FMU/DM]success reg dev type 12(vo0). id:12. total num:12|      0 [L-FMU/DM]success reg dev type 11(ultrasonic0). id:13. total num:13|      0 [L-GPS]<AGPS INFO>comm agps init.agps mode :HOST-BASE|      0 [L-SDK][USER] api cfg load success (BR:921600)!|||      0 [L-FMU/DM]success reg dev type 22(sdk0). id:14. total num:14|      0 [L-BATTERY]-------comm_bat_init-------|      0 [L-FMU/DM]success reg dev type 26(battery0). id:15. total num:15|      0 [L-BATTERY]bat_auth_origa_init|      0 [L-BATTERY]bat_auth_origa_stop|      0 [L-FMU/DM]success reg dev type 32(wristband0). id:16. total num:16|      0 [L-FMU/DM]success reg dev type 33(headset0). id:17. total num:17|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_0]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_1]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_2]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_3]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_4]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_5]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_6]|      0 [L-PWM]actuator_cfg_changed![ACTUATOR_7]|      0 [L-PWM]set actuator mode:IDLE|      0 [L-PWM]f_chl_cfg changed!|      0 [L-FMU/DM]success reg dev type 17(). id:18. total num:18|      0 [L-FMU/DM]success reg dev type  0(esc4). id:19. total num:19|      0 [L-FMU/DM]success reg dev type 16(GEAR). id:20. total num:20|      0 [L-FMU/DM]success reg dev type 24(DROPSAFE). id:21. total num:21|      0 [L-FMU/DM]success reg dev type 34(PITOT). id:22. total num:22|      0 [L-DBG1][Init]Init ok:|      0 [L-DBG1][Init]HF task : 400Hz @ mode2|      0 [L-DBG1][Init]LF task : 50Hz @ mode0|      0 [L-DBG1][Init]Tail: 400Hz Atti: 200Hz|      0 [L-DBG1][Init]Init ok:|      0 [L-DBG1][Init]MF task : 200Hz @ mode4|      0 [L-USER][USER]Read user config!|      0 [L-USER][USER]Read statistical info!|      0 [L-USER][USER]Read statistical info!,,,,,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22811849,-52.467,,,0,0,0,-0.040304143,-2.71E-06,-0.88979745,0.8907098,0.71755064,-1.4009684,-0.57275385,1.675004,-27,-176,504,534,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,-0.033916593,0.025682511,-0.048724054,NaN,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,Manual,0,0,0,0,Manual,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,180,0,0,0,0,0,{root}INFO:reset by power.|||{root}INFO:iwdg_set_time_out time_out(0x00000a23)!|{root}INFO:wdg_set_swdg_time_out time_out(2595) set g_swdg_timeout_max(480) |||{root}INFO:watchdog enable.|||      0 [L-SENSOR][ASR]ASR sync start(start).phase lead = 0|      0 [L-GPS]<GPS INFO>m8_poll_uniqid gps[0][0]|      0 [L-GPS]<GPS ERROR>m8 uid not received!|      0 [L-SDK][USER] Init_dji_api_protocol start!|||      0 [L-SDK][USER] Baud_rate: 921600 |||      0 [L-SDK][USER]----------start sdk protocol ---------|||      0 [L-CTRL]horiz vel complement filter fc:0.300000|      0 [L-CTRL]vert vel complement filter fc:0.300000|      0 [L-NS][AHRS] baro abp : 0.100000|      0 [L-NS][AHRS] baro a   : 0.998000|      0 [L-NS][AHRS] baro v   : 0.620000|      0 [L-NS][AHRS] baro p   : 0.680000|      0 [L-NS][AHRS] mag_gain: 100|      0 [L-NS][AHRS]  fs_gnss_hp        :  1|      0 [L-NS][AHRS]  fs_gnss_hv        :  1|      0 [L-NS][AHRS]  fs_gnss_vp        :  1|      0 [L-NS][AHRS]  fs_vodm_hp        :  1|      0 [L-NS][AHRS]  fs_vodm_hv        :  1|      0 [L-NS][AHRS]  fs_vodm_vp        :  1|      0 [L-NS][AHRS]  fs_vodm_vv        :  1|      0 [L-NS][AHRS]  fs_vodm_vh        :  1|      0 [L-NS][AHRS]  fs_usnc_vp        :  1|      0 [L-NS][AHRS]  fs_baro_vp        :  1|      0 [L-NS][AHRS]  fs_magn_yaw       :  1|      0 [L-NS][AHRS]  dlt_gnss_hp       : 35|      0 [L-NS][AHRS]  dlt_gnss_hv       : 55|      0 [L-NS][AHRS]  dlt_gnss_vp       : 35|      0 [L-NS][AHRS]  dlt_gnss_vv       : 55|      0 [L-NS][AHRS]  dlt_vodm_hp       :  4|      0 [L-NS][AHRS]  dlt_vodm_hv       :  4|      0 [L-NS][AHRS]  dlt_vodm_vp       :  4|      0 [L-NS][AHRS]  dlt_vodm_vv       :  4|      0 [L-NS][AHRS]  dlt_vodm_vh       :  4|      0 [L-NS][AHRS]  dlt_rtks_hp_p     : 60|      0 [L-NS][AHRS]  dlt_rtks_hp_s     : 60|      0 [L-NS][AHRS]  dlt_rtks_hv       : 60|      0 [L-NS][AHRS]  dlt_rtks_vp_p     : 40|      0 [L-NS][AHRS]  dlt_rtks_vp_s     : 60|      0 [L-NS][AHRS]  dlt_rtks_vv       : 60|      0 [L-NS][AHRS]  dlt_rtks_yaw      : 60|      0 [L-NS][AHRS]  dlt_magn_yaw      :  5|      0 [L-NS][AHRS]  thermostatic_temp : 65|      0 [L-NS][AHRS]  ground_effect_ht  : 50|      0 [L-NS][AHRS] Rgps:0.000.0.000.-0.030|||      0 [L-NS][AHRS] Rimu:0.023.0.013.-0.014|||      0 [L-NS][AHRS]version: V3_20161218_[09]|{task_d}INFO:fat set time: year:2020 month:8 day:5 hour:14 minute:25 sec:46|{task_d}INFO:dyn_map_mem_init input:0x2040fcb0.0x204114b0.0x800.|||{task_d}INFO:dyn_map_mem_init ok:0x204114b0.0x20.0x40.|||      0 [L-DEV]recorder level0 send name and header len=256|||{task_d}INFO:fat set time: year:2020 month:8 day:5 hour:14 minute:25 sec:46|      0 [L-CMD]call exec_fc_v2_special_function|      0 [L-CMD]call exec_fc_v2_special_function,,,,,,,,P,,,,GPS_CONSIST_ERROR,0,0,0,,,,,,,,,,,,,,,,,,,,0,FALSE,0,,,
22969603,-52.432,,,0,0,0,-0.033226307,-0.012676433,-1.0082096,1.0088365,-0.44678083,-1.0222843,-0.645155,1.2887603,-93,-197,1530,1545,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,-0.062735864,0.010763961,-0.076460202,NaN,,0,,,0,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,Manual,0,0,0,0,Manual,0,Hover,,lost,0,Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,180,0,0,0,0,0,      1 [L-RC]rc type 0 => 1|      1 [L-RC]read flash success. cur type:1|      1 [L-RC]>364 1024 1684|      1 [L-RC]>364 1024 1684|      1 [L-RC]>364 1024 1684|      1 [L-RC]>364 1024 1684|      1 [L-RC]first config rc|      1 [L-FMU/MOTOR]esc err. status:0|      1 [L-FMU/MOTOR]fault on . esc(1) is disconnect|      1 [L-FMU/MOTOR]fault on . esc(2) is disconnect|      1 [L-FMU/MOTOR]fault on . esc(3) is disconnect|      1 [L-FMU/MOTOR]fault on . esc(4) is disconnect|      1 [L-BATTERY]lowpass filter config : fc = 0.5 fs = 50|      1 [L-IMU]set imu switch level = 1|      1 [L-COMPASS][frame cali data] version invalid|      1 [L-COMPASS][cur cali data]fmu:0.user:0.current cali data invalid|      1 [L-COMPASS][cur cali data]fmu:1.user:1.current cali data invalid|      1 [L-COMPASS][read app cali data]mask:14721.version:16.flag:1 1 255.user_flag:1|      1 [L-COMPASS][read load data] in user index mode|      1 [L-COMPASS][read app cali data]fmu:0.user:0.scale:[ 2.679  2.570  2.580]|      1 [L-COMPASS][read app cali data]fmu:0.user:0.bias:[-20.986 257.797 223.055]|      1 [L-COMPASS][read app cali data]fmu:1.user:1.scale:[ 2.746  2.712  2.505]|      1 [L-COMPASS][read app cali data]fmu:1.user:1.bias:[29.072 250.632 354.607]|      1 [L-FDI]GPS(0): disconnect|      1 [L-DBG1]read gps date:20200805|      1 [L-SEND DATA]app connect changed:last(255) != current(0)|      1 [L-SEND DATA]assistant connect changed:last(255) != current(0)|      1 [L-CFG]lock_assistant|      1 [L-SEND DATA]lock assistant!|      1 [L-FMU/LED]action changed. Normal Flash(0)|      1 [L-FMU/LED]type:0. normal flash action:|      1 [L-FMU/LED]c0:0.15;c1:0.3;c2:0.13;c3:7.3;c4:0.10;c5:7.3;c6:0.10;c7:0.3|      1 [L-FMU/LED]action changed. Normal Flash(0)|      1 [L-FDI]NS(0): evaluation fdi turn on|      1 [L-FDI][FDI CTRL] event: turn on|      1 [L-FDI][FDI CTRL] event: takeoff turn on|      1 [L-FDI][FDI CTRL] event: takeoff turn on|      2 [L-SENSOR][ASR]ASR Delay calibration: 190/200,,,,,,,,P,,,,GPS_CONSIST_ERROR,0,0,0,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,,,
23127057,-52.397,,,0,0,0,-0.035907473,-0.008840831,-0.9949251,0.9956121,-1.73425,1.0212799,-0.5933741,2.098268,-69,-197,1520,1534,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,-0.09626743,-0.008468798,-0.098886396,NaN,,0,,,32.47,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,Manual,0,0,0,0,Manual,0,Hover,,lost,0,Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,180,0,0,0,0,0,,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,TRUE,Connected,,P,FALSE,FALSE,FALSE,GPS_CONSIST_ERROR,0,0,0,,,,,4.104,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,,,
23280089,-52.363,,,0,0,0,-0.037960377,-0.00416516,-1.0014969,1.0022247,-0.8243422,-0.27457175,-0.29625213,0.9179842,-93,-197,1530,1545,0,0,0,0,0,NaN,0,0,0,NaN,NaN,NaN,0,-0.125999947,-0.037297188,-0.100280837,NaN,,0,,,32.51,0,0,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,Manual,0,0,0,0,Manual,0,Hover,,lost,0,Disconnected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,180,0,0,0,0,0,,Manual,OTHER,NONE,GPS_POSITION_NONMATCH,TRUE,Connected,,P,FALSE,FALSE,FALSE,GPS_CONSIST_ERROR,0,0,0,,,,,5.425,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,FALSE,0,,,
