"TOA5","Adventdalen_New","CR1000","21598","CR1000.Std.15","CPU:853_MET_20181115_str.CR1","41670","Sekund"
"TIMESTAMP","RECORD","ID","LT1_sek","LT2_sek","LT3_sek","LF1_sek","LT4_sek","LF2_sek","AT_sek","VH1_sek","VR1_sek","VH2_sek","VR2_sek"
"TS","RN","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-07-17 23:59:01",96909270,853,8.47,8.3,8.61,79.53,8.89,74.76,1010.608,6.958,114.1,9.21,113.8
"2020-07-17 23:59:02",96909271,853,8.47,8.3,8.61,79.53,8.95,74.86,1010.541,8.13,118,10.39,116.4
"2020-07-17 23:59:03",96909272,853,8.52,8.35,8.61,79.53,8.85,74.8,1010.473,8.62,117,10.09,112.8
"2020-07-17 23:59:04",96909273,853,8.52,8.35,8.6,79.53,8.92,74.83,1010.473,8.43,115.6,9.51,117.8
"2020-07-17 23:59:05",96909274,853,8.43,8.35,8.61,79.53,8.95,74.83,1010.473,7.84,116.8,9.41,120
"2020-07-17 23:59:06",96909275,853,8.52,8.35,8.61,79.53,8.95,74.8,1010.405,7.84,121.8,9.6,112
"2020-07-17 23:59:07",96909276,853,8.33,8.35,8.61,79.5,9.05,74.76,1010.27,8.82,115,9.6,114.8
"2020-07-17 23:59:08",96909277,853,8.43,8.35,8.61,79.5,8.92,74.73,1010.541,8.23,118.1,9.31,110.1
"2020-07-17 23:59:09",96909278,853,8.33,8.35,8.61,79.5,8.92,74.8,1010.405,7.448,119.5,9.11,117.2
"2020-07-17 23:59:10",96909279,853,8.33,8.35,8.6,79.5,8.95,74.8,1010.405,7.644,110.5,9.6,106.1
"2020-07-17 23:59:11",96909280,853,8.33,8.35,8.61,79.5,9.05,74.8,1010.541,7.644,113.3,9.6,114.4
"2020-07-17 23:59:12",96909281,853,8.33,8.35,8.61,79.5,8.92,74.76,1010.541,7.35,118.9,9.6,115.4
"2020-07-17 23:59:13",96909282,853,8.33,8.35,8.59,79.5,8.95,74.83,1010.676,7.742,110,9.6,112.7
"2020-07-17 23:59:14",96909283,853,8.43,8.35,8.61,79.48,8.89,74.83,1010.473,7.742,120.6,9.11,116.2
"2020-07-17 23:59:15",96909284,853,8.43,8.35,8.6,79.5,8.95,74.83,1010.541,7.84,118.5,9.31,123.6
"2020-07-17 23:59:16",96909285,853,8.43,8.45,8.6,79.47,8.89,74.83,1010.405,7.35,114.4,9.41,116.3
"2020-07-17 23:59:17",96909286,853,8.33,8.35,8.61,79.5,8.95,74.86,1010.541,6.958,116.6,9.51,118.2
"2020-07-17 23:59:18",96909287,853,8.33,8.35,8.6,79.53,8.89,74.83,1010.541,6.566,122.4,9.21,116.5
"2020-07-17 23:59:19",96909288,853,8.33,8.35,8.6,79.53,8.99,74.8,1010.541,7.448,117.3,9.21,110.2
"2020-07-17 23:59:20",96909289,853,8.33,8.35,8.59,79.53,8.92,74.83,1010.541,7.742,127.8,9.02,112.3
"2020-07-17 23:59:21",96909290,853,8.33,8.35,8.6,79.55,8.95,74.83,1010.541,7.35,124.5,9.31,113.7
"2020-07-17 23:59:22",96909291,853,8.33,8.45,8.6,79.55,8.92,74.86,1010.541,7.252,136.6,9.21,113
"2020-07-17 23:59:23",96909292,853,8.33,8.35,8.61,79.58,8.89,74.86,1010.541,6.37,125.3,9.21,115.6
"2020-07-17 23:59:24",96909293,853,8.33,8.35,8.59,79.58,8.99,74.86,1010.541,6.566,114.8,9.41,117.8
"2020-07-17 23:59:25",96909294,853,8.43,8.45,8.59,79.61,8.99,74.86,1010.608,7.252,115.8,9.9,115.4
"2020-07-17 23:59:26",96909295,853,8.33,8.35,8.61,79.64,8.99,74.83,1010.676,7.644,121.7,9.9,113.6
"2020-07-17 23:59:27",96909296,853,8.33,8.35,8.6,79.64,8.89,74.8,1010.541,7.644,113,9.8,116.1
"2020-07-17 23:59:28",96909297,853,8.33,8.35,8.59,79.63,8.95,74.93,1010.338,7.546,116.4,9.6,117.2
