date 	 GPStime 	 temp 	 humidtiy 	 pression 	 windSpeed 	 windDir 	 lat 	 lng 	 alt 	 nbtSat 	 isValid 	 tCpu 	 tSens 	 battery 	 fan 
0	1345.00	0.00	0.00	0.00	0.00	RC	0.000000	0.000000	0.00	0	0	2.40	2.39	4.03	0
0	2353.00	25.10	43.42	484.10	0.00	RC	0.000000	0.000000	0.00	0	0	14.40	14.34	4.05	0
0	3358.00	25.09	43.15	968.24	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	23.95	4.04	0
0	4363.00	25.10	43.02	968.22	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	24.00	4.04	0
0	5368.00	25.09	43.03	968.14	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	24.00	4.03	0
0	6373.00	25.10	42.96	968.15	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	24.00	4.04	0
0	7378.00	25.10	42.96	968.18	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	24.00	4.05	0
0	8383.00	25.10	42.93	968.21	0.00	RC	0.000000	0.000000	0.00	0	0	24.00	24.00	4.06	0
0	9389.00	25.14	42.97	968.19	0.00	RC	0.000000	0.000000	0.00	0	0	24.01	24.00	4.05	0
0	10399.00	25.13	42.96	968.12	0.00	RC	0.000000	0.000000	0.00	0	0	24.06	24.00	4.04	0
0	11400.00	25.11	43.00	968.12	0.00	RC	0.000000	0.000000	0.00	0	0	24.10	24.00	4.05	0
0	12410.00	25.14	43.03	968.14	0.00	RC	0.000000	0.000000	0.00	0	0	24.11	24.00	4.05	0
0	13420.00	25.15	43.04	968.16	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	14429.00	25.17	43.01	968.16	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	15440.00	25.18	43.01	968.13	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	16441.00	25.17	43.01	968.11	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	17457.00	25.20	43.07	968.17	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	18460.00	25.15	43.01	968.22	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.04	0
0	19468.00	25.20	43.03	968.19	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	20462.00	25.20	42.92	968.16	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.04	0
0	21468.00	25.21	42.91	968.20	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	22473.00	25.22	42.92	968.19	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	23478.00	25.22	42.85	968.16	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.00	4.05	0
0	24483.00	25.24	42.83	968.14	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.01	4.05	0
0	25488.00	25.24	42.84	968.11	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.04	4.05	0
0	26497.00	25.22	42.75	968.16	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.09	4.04	0
0	27507.00	25.24	42.78	968.20	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.10	4.04	0
0	28516.00	25.22	42.78	968.18	0.00	RC	0.000000	0.000000	0.00	0	0	24.12	24.09	4.05	0
110621	487129.00	25.28	42.79	968.15	0.00	RC	46.521527	6.567173	392.40	6	1	24.12	24.11	4.05	0
110621	487130.00	25.27	42.86	968.11	0.00	RC	46.521526	6.567173	393.00	6	1	24.12	24.10	4.04	0
110621	487131.00	25.27	42.91	968.14	0.00	RC	46.521527	6.567173	393.20	6	1	24.12	24.07	4.05	0
110621	487132.00	25.28	42.94	968.20	0.00	RC	46.521526	6.567174	393.40	6	1	24.12	24.10	4.04	0
110621	487133.00	25.28	42.86	968.20	0.00	RC	46.521526	6.567173	393.30	6	1	24.12	24.12	4.04	0
110621	487134.00	25.28	42.91	968.18	0.00	RC	46.521525	6.567173	393.50	6	1	24.18	24.12	4.05	0
110621	487135.00	25.30	42.94	968.14	0.00	RC	46.521524	6.567173	393.90	6	1	24.24	24.12	4.03	0
110621	487136.00	25.32	43.00	968.08	0.00	RC	46.521519	6.567176	395.40	6	1	24.25	24.12	4.05	0
110621	487137.00	25.31	43.11	968.10	0.00	RC	46.521522	6.567177	395.20	6	1	24.25	24.12	4.04	0
110621	487138.00	25.32	43.14	968.15	0.00	RC	46.521523	6.567176	395.30	6	1	24.25	24.12	4.03	0
110621	487139.00	25.34	43.31	968.17	0.00	RC	46.521523	6.567175	395.80	6	1	24.25	24.12	4.03	0
110621	487140.00	25.34	43.38	968.13	0.00	RC	46.521518	6.567175	397.50	6	1	24.25	24.12	4.03	0
110621	487141.00	25.35	43.42	968.11	0.00	RC	46.521516	6.567174	398.20	6	1	24.25	24.12	4.03	0
110621	487142.00	25.35	43.53	968.14	0.00	RC	46.521515	6.567173	398.90	6	1	24.25	24.12	4.03	0
110621	487143.00	25.37	43.62	968.10	0.00	RC	46.521512	6.567172	400.10	6	1	24.25	24.12	4.03	0
110621	487144.00	25.37	43.59	968.09	0.00	RC	46.521509	6.567172	401.10	6	1	24.25	24.12	4.03	0
110621	487145.00	25.37	43.56	968.07	0.00	RC	46.521509	6.567170	401.40	6	1	24.25	24.12	4.03	0
110621	487146.00	25.38	43.50	968.09	0.00	RC	46.521508	6.567169	401.80	6	1	24.25	24.12	4.03	0
110621	487147.00	25.38	43.37	968.09	0.00	RC	46.521509	6.567168	401.60	6	1	24.25	24.12	4.03	0
110621	487148.00	25.42	43.27	968.08	0.00	RC	46.521509	6.567166	401.40	6	1	24.25	24.12	4.03	0
110621	487149.00	25.41	43.00	968.14	0.00	RC	46.521509	6.567165	401.30	6	1	24.25	24.15	4.03	0
110621	487150.00	25.44	42.75	968.08	0.00	RC	46.521509	6.567166	401.30	6	1	24.26	24.16	4.03	0
110621	487151.00	25.44	42.62	968.02	0.00	RC	46.521509	6.567167	401.40	6	1	24.32	24.19	4.03	0
110621	487152.00	25.45	42.53	968.10	0.00	RC	46.521508	6.567168	401.70	6	1	24.37	24.24	4.03	0
110621	487153.00	25.46	42.42	968.15	0.00	RC	46.521507	6.567169	401.70	6	1	24.37	24.23	4.03	0
110621	487154.00	25.45	42.31	968.13	0.00	RC	46.521506	6.567170	401.90	6	1	24.37	24.23	4.03	0
